Name, ExactMolWt, NumVE, HeavyAtom#, NHOH#, NOC#, NumHAcc#, NumHDo#, NumHeteroatoms, fr_Al_COO, fr_Al_OH, fr_Al_OH_noTert, fr_COO, fr_COO2, fr_C_O, fr_C_O_noCOO, fr_NH0, fr_NH1, fr_NH2, fr_allylic_oxid, fr_dihydropyridine, fr_methoxy, fr_nitrile, fr_nitro, fr_nitroso, fr_piperdine, MetalAN, #linker, #unit, IP, EA, H-L gap
Fe_DHP_6_4 [2298.455, 786, 166, 8, 24, 24, 8, 28, 0, 0, 0, 0, 0, 0, 0, 16, 8, 0, 16, 8, 0, 0, 0, 0, 0, 26, 6, 4, 5.144, 3.838, 0.045]
Fe_DHP_8_2 [1138.235, 390, 82, 4, 12, 12, 4, 14, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 8, 4, 0, 0, 0, 0, 0, 26, 8, 2, 5.435, 3.407, 0.076]
Fe_DHP_8_3 [1754.345, 600, 127, 6, 18, 18, 6, 21, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 12, 6, 0, 0, 0, 0, 0, 26, 8, 3, 5.238, 3.718, 0.066]
Fe_DHP_8_4 [2370.455, 810, 172, 8, 24, 24, 8, 28, 0, 0, 0, 0, 0, 0, 0, 16, 8, 0, 16, 8, 0, 0, 0, 0, 0, 26, 8, 4, 5.129, 3.893, 0.054]
Fe_C2Py_2_2 [1154.173, 390, 84, 0, 12, 12, 0, 14, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 2, 2, 6.126, 3.77, 0.073]
Fe_C2Py_2_3 [1742.251, 588, 127, 0, 18, 18, 0, 21, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 2, 3, 5.883, 4.072, 0.049]
Fe_C2Py_2_4 [2330.33, 786, 170, 0, 24, 24, 0, 28, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 2, 4, 5.751, 4.242, 0.01]
Fe_C2Py_4_2 [1178.173, 398, 86, 0, 12, 12, 0, 14, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 4, 2, 6.074, 3.805, 0.07]
Fe_C2Py_4_3 [1790.251, 604, 131, 0, 18, 18, 0, 21, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 4, 3, 5.817, 4.1, 0.058]
Fe_C2Py_4_4 [2402.33, 810, 176, 0, 24, 24, 0, 28, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 4, 4, 5.682, 4.273, 0.034]
Fe_C2Py_6_2 [1202.173, 406, 88, 0, 12, 12, 0, 14, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 6, 2, 6.037, 3.838, 0.07]
Fe_C2Py_6_3 [1838.251, 620, 135, 0, 18, 18, 0, 21, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 6, 3, 5.773, 4.129, 0.077]
Fe_C2Py_6_4 [2474.33, 834, 182, 0, 24, 24, 0, 28, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 6, 4, 5.635, 4.3, 0.044]
Fe_C2Py_8_2 [1226.173, 414, 90, 0, 12, 12, 0, 14, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 8, 2, 6.007, 3.867, 0.07]
Fe_C2Py_8_3 [1886.251, 636, 139, 0, 18, 18, 0, 21, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 8, 3, 5.738, 4.159, 0.084]
Fe_C2Py_8_4 [2546.33, 858, 188, 0, 24, 24, 0, 28, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 8, 4, 5.6, 4.327, 0.04]
Fe_Ph_2_2 [1054.192, 358, 76, 0, 8, 8, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 2, 5.902, 3.442, 0.1]
Fe_Ph_2_3 [1592.28, 540, 115, 0, 12, 12, 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 3, 5.647, 3.751, 0.049]
Fe_Ph_2_4 [2130.368, 722, 154, 0, 16, 16, 0, 20, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 4, 5.497, 3.926, 0.029]
Fe_Ph_4_2 [1078.192, 366, 78, 0, 8, 8, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 2, 5.861, 3.49, 0.095]
Fe_Ph_4_3 [1640.28, 556, 119, 0, 12, 12, 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 3, 5.597, 3.802, 0.048]
Fe_Ph_4_4 [2202.368, 746, 160, 0, 16, 16, 0, 20, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 4, 5.445, 3.98, 0.033]
Fe_Ph_6_2 [1102.192, 374, 80, 0, 8, 8, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 2, 5.832, 3.538, 0.095]
Fe_Ph_6_3 [1688.28, 572, 123, 0, 12, 12, 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 3, 5.564, 3.854, 0.051]
Fe_Ph_6_4 [2274.368, 770, 166, 0, 16, 16, 0, 20, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 4, 5.413, 4.032, 0.038]
Fe_Ph_8_2 [1126.192, 382, 82, 0, 8, 8, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 8, 2, 5.809, 3.579, 0.094]
Fe_Ph_8_3 [1736.28, 588, 127, 0, 12, 12, 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 8, 3, 5.538, 3.9, 0.052]
Fe_Ph_8_4 [2346.368, 794, 172, 0, 16, 16, 0, 20, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 8, 4, 5.389, 4.075, 0.041]
Fe_p-CP_2_2 [1230.151, 422, 88, 4, 16, 16, 4, 18, 4, 0, 0, 4, 4, 4, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 2, 6.175, 3.746, 0.095]
Fe_p-CP_2_3 [1856.219, 636, 133, 6, 24, 24, 6, 27, 6, 0, 0, 6, 6, 6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 3, 5.924, 4.06, 0.097]
Fe_p-CP_2_4 [2482.287, 850, 178, 8, 32, 32, 8, 36, 8, 0, 0, 8, 8, 8, 8, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 4, 5.803, 4.258, 0.033]
Fe_p-CP_4_2 [1254.151, 430, 90, 4, 16, 16, 4, 18, 4, 0, 0, 4, 4, 4, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 2, 6.12, 3.776, 0.095]
Fe_p-CP_4_3 [1904.219, 652, 137, 6, 24, 24, 6, 27, 6, 0, 0, 6, 6, 6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 3, 5.856, 4.09, 0.101]
