IP, EA, H-L gap
[5.7826, 4.0782, 0.004252828647]
[5.6331, 4.2353, 0.000117756646]
[5.9757, 3.3133, 0.012712646544]
[5.6773, 3.6662, 0.013257818786]
[5.4988, 3.8192, 0.00245688599]
[5.9428, 3.3687, 0.010231326215]
[5.6341, 3.7328, 0.010471900391]
[5.4936, 3.9053, 6.075146e-06]
[5.9174, 3.4232, 0.007216500452]
[5.6124, 3.7935, 0.006659005878]
[5.4726, 3.9656, 0.000745420779]
[5.8932, 3.4677, 0.007624767758]
[5.5995, 3.8449, 0.001527202608]
[5.4611, 4.0188, 0.000263404076]
[6.2636, 3.6169, 0.006510376069]
[5.978, 3.9901, 0.008731633855]
[5.7916, 4.1338, 0.00433290348]
[6.2069, 3.6545, 0.009000829529]
[5.9209, 4.0289, 0.00631040346]
[5.7786, 4.2057, 0.000779651614]
[6.1692, 3.6949, 0.00811361335]
[5.8827, 4.0707, 0.00448680662]
[5.7399, 4.2457, 0.000757890654]
[6.1392, 3.7307, 0.005956550588]
[5.8517, 4.1088, 0.003288570811]
[5.7121, 4.2814, 0.000837874365]
[6.21, 3.5598, 0.008520340932]
[5.8969, 3.9158, 0.016277789463]
[5.7665, 4.0943, 0.000126599705]
[6.1551, 3.6004, 0.009637152758]
[5.8372, 3.9593, 0.014034488897]
[5.6909, 4.1233, 0.001417505365]
[6.1203, 3.6426, 0.00786060813]
[5.8003, 4.0043, 0.012009643479]
[5.6585, 4.1714, 0.000638336859]
[6.0904, 3.6808, 0.006367619783]
[5.6577, 3.9728, 0.022712822244]
[5.5429, 4.1539, 0.001763110351]
[5.9131, 3.2881, 0.011322248671]
[5.55, 3.5941, 0.026208096197]
[5.4342, 3.7761, 0.003476262961]
[5.8846, 3.3444, 0.008543243141]
[5.5977, 3.7057, 0.009628008924]
[5.4063, 3.8452, 0.005039169206]
[5.8616, 3.3982, 0.006668873897]
[5.5766, 3.767, 0.007128618577]
[5.4379, 3.9404, 0.002386671049]
[5.8388, 3.4433, 0.008937666902]
[5.5619, 3.8197, 0.00438006473]
[5.426, 3.9929, 0.00246171267]
[5.9644, 3.3733, 0.011336223716]
[5.6229, 3.6779, 0.023653352784]
[5.5146, 3.8639, 0.00354071726]
[5.9333, 3.4248, 0.008543543699]
[5.6401, 3.775, 0.012157661829]
[5.5182, 3.9515, 6.5799545e-05]
[5.8879, 3.4576, 0.00707031714]
[5.6221, 3.833, 0.005667321626]
[5.4985, 4.0093, 0.000221430668]
[5.8884, 3.5165, 0.005774356481]
[5.6059, 3.8823, 0.003998241398]
[5.4816, 4.0583, 6.289548e-05]
[6.2756, 3.629, 0.007505298832]
