IP, EA, H-L gap
[5.2107, 3.5778, 0.584287317019]
[5.1772, 3.6195, 0.571963748035]
[5.9332, 2.6688, 0.9919639155]
[5.7471, 2.9161, 0.964704750022]
[5.5747, 3.1526, 0.812780286874]
[5.4596, 3.2994, 0.734739570789]
[5.3763, 3.4089, 0.68876842481]
[5.3134, 3.4909, 0.661139635405]
[5.2623, 3.5536, 0.642692908935]
[5.2214, 3.6042, 0.630125974651]
[5.1873, 3.6467, 0.621048268256]
[5.9147, 2.7209, 1.002922109725]
[5.7244, 2.9896, 0.958300456508]
[5.5616, 3.2146, 0.825279400501]
[5.4541, 3.3588, 0.758240768516]
[5.3758, 3.4599, 0.720307353971]
[5.3175, 3.5377, 0.698548901382]
[5.2703, 3.5973, 0.683807227037]
[5.2326, 3.6462, 0.673949151936]
[5.201, 3.6861, 0.666897430613]
[5.9017, 2.7732, 1.009150148876]
[5.706, 3.0626, 0.946449187766]
[5.5504, 3.2817, 0.82866862465]
[5.4485, 3.4177, 0.772374512358]
[5.376, 3.5157, 0.741875549253]
[5.3218, 3.5887, 0.723758687879]
[5.2802, 3.6459, 0.712965727534]
[5.2445, 3.6911, 0.704871862205]
[5.2148, 3.7283, 0.698995565223]
[5.9651, 2.6868, 0.973275108982]
[5.7656, 3.0171, 0.84967605847]
[5.6189, 3.2433, 0.7349727922]
[5.515, 3.3939, 0.662298128467]
[5.4402, 3.503, 0.615240108349]
[5.3794, 3.5896, 0.582874003143]
[5.3323, 3.6582, 0.56038715156]
[5.293, 3.7145, 0.544068619863]
[5.2612, 3.7598, 0.531238639195]
[5.9443, 2.7317, 0.992287105648]
[5.7609, 3.0278, 0.917988536518]
[5.6163, 3.2597, 0.791667249019]
[5.5159, 3.4113, 0.721225692049]
[5.4401, 3.5188, 0.678718082746]
[5.384, 3.5991, 0.653371352644]
[5.3387, 3.6635, 0.635382668501]
[5.3006, 3.7156, 0.622533859486]
[5.27, 3.7587, 0.613469976523]
[5.9261, 2.7805, 1.003631746916]
[5.744, 3.0839, 0.927587798094]
[5.6006, 3.3101, 0.809446013245]
[5.5044, 3.4558, 0.748150593018]
[5.4358, 3.5594, 0.713776870839]
[5.3816, 3.6368, 0.692043812096]
[5.3377, 3.6961, 0.677422312711]
[5.302, 3.744, 0.667170545227]
[5.2736, 3.7844, 0.660252117303]
[5.9124, 2.8298, 1.009950102925]
[5.7236, 3.1455, 0.92105031293]
[5.5866, 3.3654, 0.816192292343]
[5.4961, 3.5053, 0.764491719301]
[5.4288, 3.6035, 0.73517319527]
[5.3779, 3.6766, 0.717301490676]
[5.3374, 3.7332, 0.705560160383]
[5.3048, 3.7789, 0.697626717588]
[5.2777, 3.8164, 0.691989419761]
[6.3518, 2.9884, 1.004360187538]
[6.1703, 3.2673, 0.942878669108]
[5.9965, 3.5189, 0.787457224754]
[5.8854, 3.6793, 0.707622116109]
[5.8077, 3.7918, 0.663046797017]
